2023-12-19 14:12:140 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 14:12:681 INFO  ManageBrowser :36 - Clicking on computer page link : [[ChromeDriver: chrome on windows (8e390c57ed2d2a4cf1a73e06d7319443)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-12-19 14:12:710 INFO  ManageBrowser :27 - Getting Computers Text : [[ChromeDriver: chrome on windows (8e390c57ed2d2a4cf1a73e06d7319443)] -> xpath: //h1[normalize-space()='Computers']]
2023-12-19 14:12:36 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 14:12:461 INFO  ManageBrowser :36 - Clicking on computer page link : [[ChromeDriver: chrome on windows (8f0750214fcdf3130ed88bfb5c45d115)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-12-19 14:12:836 INFO  ManageBrowser :33 - Clicking On Desktops menu : [[ChromeDriver: chrome on windows (8f0750214fcdf3130ed88bfb5c45d115)] -> xpath: //li[@class='active last']//a[normalize-space()='Desktops']]
2023-12-19 14:12:852 INFO  ManageBrowser :29 - Getting Computers Text : [[ChromeDriver: chrome on windows (8f0750214fcdf3130ed88bfb5c45d115)] -> xpath: //h1[normalize-space()='Desktops']]
2023-12-19 14:12:21 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 14:12:499 INFO  ManageBrowser :36 - Clicking on computer page link : [[ChromeDriver: chrome on windows (c06255ce79ee486fa4f3c7466954fe11)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-12-19 14:12:851 INFO  ManageBrowser :33 - Clicking On Desktops menu : [[ChromeDriver: chrome on windows (c06255ce79ee486fa4f3c7466954fe11)] -> xpath: //li[@class='active last']//a[normalize-space()='Desktops']]
2023-12-19 14:12:239 INFO  ManageBrowser :35 - Clicking On Build Your Computer link : [[ChromeDriver: chrome on windows (c06255ce79ee486fa4f3c7466954fe11)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2023-12-19 14:12:333 INFO  ManageBrowser :65 - Selecting processor from drop-down : [[ChromeDriver: chrome on windows (c06255ce79ee486fa4f3c7466954fe11)] -> xpath: //select[@id='product_attribute_1']]
2023-12-19 14:12:400 INFO  ManageBrowser :70 - Selecting RAM from drop-down : [[ChromeDriver: chrome on windows (c06255ce79ee486fa4f3c7466954fe11)] -> xpath: //select[@id='product_attribute_2']]
2023-12-19 14:12:450 INFO  ManageBrowser :75 - Selecting 320GB HDD : [[ChromeDriver: chrome on windows (c06255ce79ee486fa4f3c7466954fe11)] -> xpath: //input[@id='product_attribute_3_6']]
2023-12-19 14:12:501 INFO  ManageBrowser :85 - Selecting Vista Home OS : [[ChromeDriver: chrome on windows (c06255ce79ee486fa4f3c7466954fe11)] -> xpath: //input[@id='product_attribute_4_8']]
2023-12-19 14:12:544 INFO  ManageBrowser :95 - Clicking on Microsoft Office Software : [[ChromeDriver: chrome on windows (c06255ce79ee486fa4f3c7466954fe11)] -> xpath: //input[@id='product_attribute_5_10']]
2023-12-19 14:12:585 INFO  ManageBrowser :95 - Clicking on Microsoft Office Software : [[ChromeDriver: chrome on windows (c06255ce79ee486fa4f3c7466954fe11)] -> xpath: //input[@id='product_attribute_5_10']]
2023-12-19 14:12:654 INFO  ManageBrowser :110 - Clicking on Add to Cart : [[ChromeDriver: chrome on windows (c06255ce79ee486fa4f3c7466954fe11)] -> xpath: //button[@id='add-to-cart-button-1']]
2023-12-19 14:12:883 INFO  ManageBrowser :114 - Getting Add to cart success message : [[ChromeDriver: chrome on windows (c06255ce79ee486fa4f3c7466954fe11)] -> xpath: //p[@class='content']]
2023-12-19 14:12:947 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 14:12:281 INFO  ManageBrowser :36 - Clicking on computer page link : [[ChromeDriver: chrome on windows (6b8da32c165602e772ea223ea7c76f0d)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-12-19 14:12:680 INFO  ManageBrowser :33 - Clicking On Desktops menu : [[ChromeDriver: chrome on windows (6b8da32c165602e772ea223ea7c76f0d)] -> xpath: //li[@class='active last']//a[normalize-space()='Desktops']]
2023-12-19 14:12:77 INFO  ManageBrowser :35 - Clicking On Build Your Computer link : [[ChromeDriver: chrome on windows (6b8da32c165602e772ea223ea7c76f0d)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2023-12-19 14:12:156 INFO  ManageBrowser :65 - Selecting processor from drop-down : [[ChromeDriver: chrome on windows (6b8da32c165602e772ea223ea7c76f0d)] -> xpath: //select[@id='product_attribute_1']]
2023-12-19 14:12:232 INFO  ManageBrowser :70 - Selecting RAM from drop-down : [[ChromeDriver: chrome on windows (6b8da32c165602e772ea223ea7c76f0d)] -> xpath: //select[@id='product_attribute_2']]
2023-12-19 14:12:287 INFO  ManageBrowser :80 - Selecting 400GB HDD : [[ChromeDriver: chrome on windows (6b8da32c165602e772ea223ea7c76f0d)] -> xpath: //input[@id='product_attribute_3_7']]
